Anchorage,AK,61.22,-149.85
Anchorage,AK,61.16,-149.99
Anchorage,AK,61.18,-149.88
Anchorage,AK,61.17,-149.63
Jber,AK,61.31,-149.65
Jber,AK,61.27,-149.79
Anchorage,AK,61.14,-149.76
Anchorage,AK,61.2,-149.82
Anchorage,AK,61.17,-149.88
Anchorage,AK,61.22,-149.88
Anchorage,AK,61.11,-149.86
Anchorage,AK,61.21,-149.88
Anchorage,AK,61.2,-149.82
Anchorage,AK,61.11,-149.9
Anchorage,AK,61.08,-149.7
Anchorage,AK,61.19,-149.94
Anchorage,AK,61.15,-149.88
Anchorage,AK,61.19,-149.98
Anchorage,AK,61.21,-149.86
Anchorage,AK,61.2,-149.74
Anchorage,AK,61.15,-149.92
Anchorage,AK,61.16,-149.83
Anchorage,AK,61.18,-149.89
Anchorage,AK,61.18,-149.98
Anchorage,AK,61.26,-149.97
Indian,AK,61,-149.43
Kongiganak,AK,60.78,-161.79
Adak,AK,51.9,-176.67
Atka,AK,52.23,-174.16
Chignik Lake,AK,56.23,-158.74
Port Heiden,AK,57.09,-158.26
Port Lions,AK,57.9,-153.04
Akiachak,AK,60.87,-161.42
Akiak,AK,60.9,-161.29
Akutan,AK,54.13,-165.88
Alakanuk,AK,62.44,-164.38
Aleknagik,AK,59.24,-158.62
Anchor Point,AK,59.82,-151.59
Aniak,AK,61.2,-158.6
Anvik,AK,62.63,-160.2
Bethel,AK,60.93,-161.8
Chefornak,AK,60.15,-164.06
Chevak,AK,61.56,-165.38
Chignik,AK,56.3,-158.36
Chignik Lagoon,AK,56.3,-158.49
Chitina,AK,61.45,-143.15
Chugiak,AK,61.41,-149.17
Clam Gulch,AK,60.21,-151.4
Clarks Point,AK,58.83,-158.53
Cold Bay,AK,55.92,-160.29
Cooper Landing,AK,60.49,-149.82
Copper Center,AK,61.68,-145.14
Cordova,AK,60.79,-145.61
Crooked Creek,AK,61.86,-157.99
Dillingham,AK,58.82,-157.86
Eagle River,AK,61.21,-149.25
Eek,AK,60.19,-162.13
Egegik,AK,58.37,-156.8
Ekwok,AK,59.35,-157.48
Emmonak,AK,62.69,-162.96
False Pass,AK,54.83,-163.65
Marshall,AK,61.87,-162.05
Gakona,AK,62.41,-143.41
Girdwood,AK,60.9,-148.91
Glennallen,AK,62.1,-145.53
Goodnews Bay,AK,59.19,-161.71
Grayling,AK,62.89,-160.1
Saint George Island,AK,56.57,-169.63
Anchorage,AK,61.21,-149.86
Holy Cross,AK,62.18,-159.84
Homer,AK,59.4,-151.32
Hooper Bay,AK,61.6,-165.74
Hope,AK,60.84,-149.4
Iliamna,AK,59.52,-154.4
Kalskag,AK,61.61,-160.2
Karluk,AK,57.6,-154.33
Kasigluk,AK,60.87,-162.54
Kasilof,AK,60.28,-151.26
Kenai,AK,60.66,-150.9
King Cove,AK,55.08,-162.32
King Salmon,AK,58.75,-156.54
Kipnuk,AK,59.93,-164.06
Kodiak,AK,57.79,-152.4
Kodiak,AK,57.79,-152.4
Kotlik,AK,62.84,-163.65
Kwethluk,AK,60.79,-161.42
Kwigillingok,AK,59.87,-163.18
Wasilla,AK,61.61,-149.58
Larsen Bay,AK,57.48,-153.99
Levelock,AK,58.95,-156.48
Lower Kalskag,AK,61.51,-160.36
Mc Grath,AK,62.51,-154.44
Manokotak,AK,58.88,-158.93
Wasilla,AK,61.58,-149.44
Mekoryuk,AK,60.08,-166.48
