Anchorage,AK,"279,243"
Fairbanks ,AK,"35,132"
Juneau,AK,"30,988"
Wasilla ,AK,"10,256"
Sitka  and,AK,"8,889"
Palmer ,AK,"8,201"
Kenai ,AK,"7,742"
Ketchikan ,AK,"7,280"
Bethel ,AK,"6,468"
Kodiak ,AK,"6,228"
Homer ,AK,"5,802"
Soldotna ,AK,"4,386"
Birmingham ,AL,"228,798"
Montgomery ,AL,"202,696"
Mobile ,AL,"191,022"
Huntsville ,AL,"176,645"
Tuscaloosa ,AL,"90,221"
Hoover ,AL,"71,020"
Dothan ,AL,"66,505"
Auburn ,AL,"56,088"
Decatur ,AL,"56,068"
Madison ,AL,"38,714"
Florence ,AL,"37,877"
Gadsden ,AL,"36,816"
Prattville ,AL,"32,480"
Phenix City ,AL,"31,125"
Vestavia Hills ,AL,"30,892"
Alabaster ,AL,"29,352"
Bessemer ,AL,"28,542"
Prichard ,AL,"27,662"
Opelika ,AL,"26,808"
Enterprise ,AL,"25,351"
Homewood ,AL,"23,840"
Athens ,AL,"23,715"
Anniston ,AL,"23,662"
Northport ,AL,"23,118"
Pelham ,AL,"21,266"
Mountain Brook ,AL,"21,061"
Oxford ,AL,"20,622"
Albertville ,AL,"19,794"
Daphne ,AL,"19,093"
Trussville ,AL,"18,985"
Selma ,AL,"18,847"
Fairhope ,AL,"17,147"
Talladega ,AL,"16,943"
Millbrook ,AL,"16,640"
Hueytown ,AL,"15,751"
Center Point ,AL,"15,408"
Cullman ,AL,"15,295"
Troy ,AL,"15,148"
Alexander City ,AL,"15,080"
Scottsboro ,AL,"14,994"
Ozark ,AL,"14,711"
Helena ,AL,"14,639"
Eufaula ,AL,"14,502"
Jasper ,AL,"14,131"
Fort Payne ,AL,"14,061"
Hartselle ,AL,"13,888"
Foley ,AL,"13,807"
Gardendale ,AL,"13,665"
Moody ,AL,"13,400"
Muscle Shoals ,AL,"13,032"
Saraland ,AL,"12,946"
Sylacauga ,AL,"12,843"
Pell City ,AL,"12,841"
Tuskegee ,AL,"11,357"
Fairfield ,AL,"11,316"
Leeds ,AL,"11,312"
Calera ,AL,"10,742"
Pleasant Grove ,AL,"10,254"
Gulf Shores ,AL,"10,248"
Jacksonville ,AL,"10,077"
Valley ,AL,"9,962"
Irondale ,AL,"9,677"
Rainbow City ,AL,"9,324"
Sheffield ,AL,"9,127"
Andalusia ,AL,"8,978"
Russellville ,AL,"8,918"
Clanton ,AL,"8,836"
Guntersville ,AL,"8,422"
Southside ,AL,"8,407"
Boaz ,AL,"8,349"
Clay ,AL,"8,308"
Tuscumbia ,AL,"8,308"
Bay Minette ,AL,"8,043"
Arab ,AL,"7,924"
Wetumpka ,AL,"7,719"
Atmore ,AL,"7,428"
Demopolis ,AL,"7,350"
Lanett ,AL,"7,121"
Oneonta ,AL,"7,040"
Greenville ,AL,"7,022"
